iter	Passed	Remaining
0	172	171839
1	174	87096
2	177	58859
3	180	44977
4	189	37619
5	192	31827
6	194	27659
7	199	24706
8	203	22385
9	206	20439
10	210	18902
11	214	17684
12	220	16742
13	223	15770
14	227	14923
15	230	14171
16	233	13528
17	237	12938
18	240	12433
19	245	12008
20	249	11629
21	253	11274
22	257	10949
23	261	10634
24	264	10322
25	268	10041
26	272	9835
27	276	9591
28	279	9342
29	281	9107
30	284	8894
31	288	8725
32	291	8554
33	295	8409
34	300	8275
35	304	8142
36	306	7976
37	308	7815
38	310	7660
39	313	7528
40	315	7389
41	317	7248
42	319	7114
43	321	6988
44	323	6860
45	324	6736
46	326	6612
47	327	6497
48	329	6398
49	331	6290
50	332	6189
51	334	6102
52	336	6008
53	337	5915
54	338	5823
55	340	5733
56	341	5652
57	343	5585
58	345	5509
59	346	5432
60	348	5363
61	350	5296
62	351	5227
63	352	5157
64	353	5091
65	355	5025
66	356	4968
67	358	4918
68	360	4861
69	362	4811
70	363	4762
71	365	4706
72	366	4654
73	367	4604
74	369	4554
75	370	4507
76	372	4463
77	373	4417
78	375	4373
79	376	4329
80	378	4289
81	379	4252
82	380	4206
83	382	4170
84	383	4133
85	385	4095
86	386	4060
87	388	4025
88	390	3998
89	392	3966
90	393	3934
91	395	3902
92	396	3869
93	398	3836
94	399	3802
95	400	3771
96	401	3739
97	403	3712
98	405	3686
99	406	3661
100	408	3633
101	409	3604
102	410	3576
103	411	3548
104	413	3521
105	414	3492
106	415	3465
107	416	3439
108	418	3417
109	420	3401
110	421	3378
111	423	3354
112	424	3331
113	425	3308
114	427	3286
115	428	3265
116	429	3241
117	430	3220
118	432	3198
119	433	3179
120	435	3162
121	436	3141
122	438	3124
123	439	3106
124	441	3087
125	442	3068
126	443	3047
127	444	3028
128	446	3012
129	447	2994
130	449	2979
131	450	2965
132	452	2948
133	453	2932
134	455	2916
135	456	2899
136	457	2883
137	459	2867
138	460	2852
139	461	2836
140	463	2822
141	464	2805
142	465	2792
143	467	2778
144	468	2763
145	470	2750
146	471	2735
147	472	2721
148	474	2708
149	475	2695
150	476	2681
151	478	2670
152	480	2658
